Question,Label
About what proportion of the population of the US is living on farms?,knowledge
Correctly label the brain lobes indicated on the diagram below,knowledge
Define compound interest.,knowledge
Define four types of traceability.,knowledge
Define mercantilism.,knowledge
"Define stream bank, floodplain and substrate.",knowledge
Define the meaning of the Olympic Motto.,knowledge
Draw and label a diagram of a typical stream.,knowledge
Draw the basic outline of a page of notes using the Cornell Method?,knowledge
Draw the block diagram of the central processing unit ,knowledge
Draw the flow chart of the PNK system,knowledge
How many instructions in the instruction set of RISC computer?,knowledge
How many kilometers from your home to the university,knowledge
How many loop statement available in c++?,knowledge
How many states are there in USA,knowledge
How many years does this animal live?,knowledge
How much data can be stored in the cach memory,knowledge
How much did he pay for his car,knowledge
How much is your weight,knowledge
How much time did he took to build a house,knowledge
How much water does an elephant drink,knowledge
Identify a phrase as a simile,knowledge
"Identify a property (commutative, additive, etc(",knowledge
Identify fractions from a pictorial representation,knowledge
Identify ordinal positions,knowledge
Identify the correct definition of osmosis.,knowledge
Identify the five major prophets of the Old Testament.,knowledge
Identify the part of a eukaryotic cell.,knowledge
Identify the standard peripheral components of a computer.,knowledge
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),knowledge
in which continent does the state of suriname fall,knowledge
in which countries is arabic language spoken,knowledge
In Which part of the world does he live ,knowledge
Label any Olympic sporting apparatus with design features.,knowledge
Label the parts of the following insects: Grasshopper,knowledge
 Label the parts of the microscope shown on the right,knowledge
List four types of clauses mentioned in the article,knowledge
List reserved words in C programming.,knowledge
List the characteristics peculiar to the Cubist movement.,knowledge
List the levels in Bloom's Taxonomy.,knowledge
List the procedure to draw a mixed potential or Evans' diagram,knowledge
List the steps involved in titration.,knowledge
List three characteristics that are unique to the Cubist movement.,knowledge
List three predominant economic systems that exist,knowledge
Look at the symbol. What is the symbol’s purpose on a map?,knowledge
Make a list of facts you learned from the story.,knowledge
Name 5 steps that follow the taking of notes (within 24 hours or less)?,knowledge
Name the artist who painted the Mona Lisa.,knowledge
Name the food groups and at least two items of food in each group.,knowledge
Name the four major food groups.,knowledge
Name the main characters in the story.,knowledge
Name the property that states that,knowledge
Please label the diagram below:,knowledge
Recall basic math facts,knowledge
Recall locations of a historical events,knowledge
Recall the definition of the formula datatype from your assignment 2.,knowledge
Recall the equation for the Ideal Gas Law.,knowledge
Recall the following pictoral example of an implementation of some queue operations,knowledge
recall the supply voltage constraints,knowledge
Recite a policy of immigration in Europe .,knowledge
"Recite the poem ""Auto Wreck"".",knowledge
Recite the principles of the Data Protection Act.,knowledge
Recite the the Gaussian law,knowledge
State four attributes of well engineered software.,knowledge
State how to find a word in a dictionary,knowledge
State the characteristics of each type of corrosion testing studied,knowledge
State the definition of application in Bloom's Taxonomy.,knowledge
State the formula for the area of a circle,knowledge
State the guidelines to design an anodic protection system,knowledge
State the pattern for expressing time in French.,knowledge
State the rule for balls and strikes in baseball.,knowledge
State the rule for using a semicolon in a sentence.,knowledge
What are major facts about particular cultures and societies,knowledge
What are the major products and exports of countries,knowledge
What are the representational symbols on maps and charts,knowledge
What are the structure or functions of Congress,knowledge
What are the units of corrosion penetration rates? Relate these to Faraday's law,knowledge
What does ICT stands for.,knowledge
What is  your family name,knowledge
What is a global variable?,knowledge
What is a textual index,knowledge
What is the setting of To Kill a Mockingbird?,knowledge
What is the title of the first movie you saw ,knowledge
What season are we in right now?,knowledge
when did saudi arabia start using internet,knowledge
when did the first saudi radio station open,knowledge
When did the second world war happen ,knowledge
When did you born ?,knowledge
when was the first airport in the yemen built,knowledge
